no,style,series,trimType_,flowCharacter_,flowDirection_,balancing_,rating_c,valveSize,seatBore,travel,coeff,one,two,three,four,five,six,seven,eight,nine,ten
1,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Cv,0.0385,0.0455,0.056,0.0719,0.0942,0.124,0.162,0.212,0.278,0.354
2,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
3,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
4,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Fd,0.07,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.22,0.25
5,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Cv,0.0385,0.0455,0.056,0.0719,0.0942,0.124,0.162,0.212,0.278,0.354
6,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
7,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
8,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Fd,0.07,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.22,0.25
9,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Cv,0.0385,0.0455,0.056,0.0719,0.0942,0.124,0.162,0.212,0.278,0.354
10,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
11,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
12,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Fd,0.07,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.22,0.25
13,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Cv,0.0562,0.0725,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
14,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
15,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
16,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.25,0.75,Fd,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Cv,0.0562,0.0725,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
18,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
20,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.25,0.75,Fd,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
21,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Cv,0.0562,0.0725,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
22,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
23,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
24,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.25,0.75,Fd,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
25,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Cv,0.015,0.02,0.024,0.028,0.034,0.041,0.048,0.056,0.066,0.075
26,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,FL,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
27,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Xt,0.964,0.888,0.906,0.947,0.942,0.928,0.949,0.947,0.918,0.934
28,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Fd,1,1,1,1,1,1,1,1,1,1
29,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.1875,0.75,Cv,0.015,0.02,0.024,0.028,0.034,0.041,0.048,0.056,0.066,0.075
30,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.1875,0.75,FL,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
31,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.1875,0.75,Xt,0.964,0.888,0.906,0.947,0.942,0.928,0.949,0.947,0.918,0.934
32,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.1875,0.75,Fd,1,1,1,1,1,1,1,1,1,1
33,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.1875,0.75,Cv,0.015,0.02,0.024,0.028,0.034,0.041,0.048,0.056,0.066,0.075
34,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.1875,0.75,FL,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
35,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.1875,0.75,Xt,0.964,0.888,0.906,0.947,0.942,0.928,0.949,0.947,0.918,0.934
36,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,2,0.1875,0.75,Fd,1,1,1,1,1,1,1,1,1,1
37,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Cv,0.016,0.026,0.038,0.052,0.07,0.088,0.107,0.127,0.153,0.181
38,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
39,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Xt,0.707,0.697,0.687,0.7,0.675,0.679,0.68,0.68,0.681,0.681
40,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1,0.1875,0.75,Fd,1,1,1,1,1,1,1,1,1,1
41,Globe Straight,10,Microspline,Equal %,Under,Unbalanced,ASME 150,1.5,0.1875,0.75,Cv,0.016,0.026,0.038,0.052,0.07,0.088,0.107,0.127,0.153,0.181
