fluidState,fluidName,specificGravity,vaporPressure,viscosity,criticalPressure,molecularWeight,specificHeatRatio,compressibilityFactor
Liquid / Gas,Acetic Acid,0.86,3.97,1,56.9,60.5,1.14,0.9
Liquid / Gas,Acetic Anhydride,0.88,1.94,1,45.8,102,1.09,0.91
Liquid / Gas,Acetone,0.62,18.8,1,46,58.1,1.13,0.94
Liquid / Gas,Acetylene,0.24,383,1,60.4,26,1.23,0.99
Liquid / Gas,Acrylic Acid,0.87,1.83,1,55.8,7.1,1.12,0.91
Liquid / Gas,Air,0,1110,1,32.9,29,1.4,1
Liquid / Gas,Ammonia,0.43,190,1,112,17,1.31,1
Liquid / Gas,Argon,0,1150,1,47.8,39.9,1.67,1
Liquid / Gas,Benzene,0.71,9.2,1,48,78.1,1.11,0.99
Liquid / Gas,Bromine,2.55,15.3,1,102,160,1.3,0.96
Liquid / Gas,"Butadiene 1,3",0.44,55.7,1,42.3,54.1,1.12,0.96
Liquid / Gas,Butane,0.41,49,1,37,58.1,1.09,0.95
Liquid / Gas,Butyl Alcohol,0.65,5.35,1,43.2,74.1,1.08,0.91
Liquid / Gas,Carbon Dixide ,0.38,9130,1,72.8,44,1.29,0.99
Liquid / Gas,Carbon monoxide,0,694,1,34,28,1.4,1
Liquid / Gas,Carbon Tetrachloride,1.28,9.55,1,44.6,154,1.11,0.91
Liquid / Gas,Chlorine Dry,1,109,1,76,70.9,1.33,0.98
Liquid / Gas,chlorine Wet,1,109,1,76,70.9,1.33,0.38
Liquid / Gas,Demin.Water,0.84,9.03,1,220,18,1.33,0.97
Liquid / Gas,Dowtherm A,0.94,-0.88,1,94.6,166,1.05,0.9
Liquid / Gas,Ethane,0.2,386,1,47,30.1,1.19,0.99
Liquid / Gas,Ethyl Alcohol,0.62,20,1,62.9,46.1,1.15,0.95
Liquid / Gas,Ethylene,0.16,336,1,49.4,28.1,1.24,0.99
Liquid / Gas,Helium,0,258,1,1.26,4,1.66,1
Liquid / Gas,n-Heptane,0.54,5.77,1,26.4,100,1.05,0.86
Liquid / Gas,Hexane,0.51,11.7,1,28.7,86.2,1.06,0.9
Liquid / Gas,hydrocarbon Gas,0,1430,1,45,16,1.31,1
Liquid / Gas,Hydrocarbon Liquid,0.62,26.4,1,99,32,1.24,0.97
Liquid / Gas,Hydrogen,0,773,1,12,2.02,1.4,1
Liquid / Gas,hydrogen Chloride,0.51,393,1,82.1,36.5,1.4,0.99
Liquid / Gas,Hydrogen Fluoride,0.72,43.9,1,63,20,1.4,0.97
Liquid / Gas,Hydrogen Sulphide,0.55,208,1,88.4,34.1,1.35,0.99
Liquid / Gas,Isopropyl Alcohol,0.61,18.4,1,46.6,60.1,1.1,0.94
Liquid / Gas,Methane,0,4130,1,45,16,1.31,1
Liquid / Gas,Methyle Alcohol,0.62,26.4,1,80,32,1.24,0.96
Liquid / Gas,Methyle Chloride,0.64,96.5,1,65.8,50.5,1.26,0.98
Liquid / Gas,Natural Gas,0,1430,1,45,16,1.31,1
Liquid / Gas,Nitrogen,0,1110,1,32.9,28,1.4,1
Liquid / Gas,Octane,0.57,2.7,1,23.8,114,1.05,0.82
Liquid / Gas,Oxygen,0,1260,1,32,1.4,1,1
Liquid / Gas,Pentance,0.47,24,1,32.7,72.2,1.08,0.93
Liquid / Gas,Phenol,0.92,-0.05,1,60.3,94.1,1.09,0.88
Liquid / Gas,Propene,0.33,112,1,41.5,44.1,1.13,0.97
Liquid / Gas,Propyl Alchohol,0.64,10.4,1,50.7,60.1,1.11,0.93
Liquid / Gas,Propyl Chloride,0.69,20,1,44.8,78.5,1.11,0.94
Liquid / Gas,Propylene,0.33,127,1,45.2,42.1,1.15,0.98
Liquid / Gas,Pyridine,0.82,3.82,1,55.4,79.1,1.06,0.91
Liquid / Gas,Refrigerant 12,0.64,119,1,48.8,121,1.1,0.97
Liquid / Gas,Refrigerant 22,0.75,119,1,48.8,86.5,1.18,0.98
Liquid / Gas,Sea Water,0.86,8.79,1,220,18,1.33,0.97
Liquid / Gas,Steam,0.84,9.03,1,220,18,1.33,0.97
Liquid / Gas,Sulphur Dioxide,0.99,101,1,77.9,64.1,1.27,0.98
Liquid / Gas,Toluene,0.71,4.15,1,40.1,92.1,1.09,0.88
Liquid / Gas,Water,0.84,9.03,1,220,18,1.33,0.97
