nominalDia,nominalPipeSize,outerDia,schedule,thickness,area
6,0.5,10.3,10,1.24,0.074407332
8,0.25,13.7,10,1.65,0.131603943
10,0.38,17.1,10,1.65,0.231718333
15,0.5,21.3,10,2.11,0.354958807
20,0.75,26.7,10,2.11,0.614886329
25,1,33.4,10,2.77,0.944418417
32,1.25,42.2,10,2.77,1.635261247
40,1.5,48.3,10,2.77,2.224731564
50,2,60.3,10,2.77,3.648623932
65,2.5,73,10,3.05,5.445709359
80,3,88.9,10,3.05,8.341860004
90,3.5,101.6,10,3.05,11.09708638
100,4,114.3,10,3.05,14.24481276
125,5,141.3,10,3.4,22.01135571
150,6,168.3,10,3.4,31.73564116
200,8,219.1,10,3.76,54.46925673
250,10,273.1,10,4.19,85.26596898
300,12,323.9,10,4.57,120.5483573
350,14,355.6,10,6.35,143.06625
400,16,406.4,10,6.35,188.59625
450,18,457,10,6.35,240.1899601
500,20,508,10,6.35,298.49625
550,22,559,10,6.35,363.1320861
600,24,610,10,6.35,434.0974683
650,26,660,10,7.92,504.8818168
700,28,711,10,7.92,587.9924811
750,30,762,10,7.92,677.4326916
200,8,219.1,20,6.35,51.83482175
250,10,273.1,20,6.35,82.50574369
300,12,323.9,20,6.35,117.8369248
350,14,355.6,20,7.92,140.4580774
400,16,406.4,20,7.92,185.5999042
450,18,457,20,7.92,236.8069693
500,20,508,20,9.53,290.879664
550,22,559,20,9.53,354.7261684
600,24,610,20,9.53,424.902219
650,26,660,20,12.7,490.0070844
700,28,711,20,12.7,571.9312691
750,30,762,20,12.7,660.185
6,0.125,10.3,30,1.45,0.066629363
8,0.5,13.7,30,1.85,0.121675243
10,0.38,17.1,30,1.85,0.218480067
15,0.5,21.3,30,2.41,0.33045828
20,0.75,26.7,30,2.41,0.582501246
25,1,33.4,30,2.9,0.926873334
32,1.25,42.2,30,2.97,1.599771012
40,1.5,48.3,30,3.18,2.140223241
50,2,60.3,30,3.18,3.540169921
65,2.5,73,30,4.78,4.896982727
80,3,88.9,30,4.78,7.659256535
90,3.5,101.6,30,4.78,10.30754984
100,4,114.3,30,4.78,13.34834315
200,8,219.1,30,7.04,51.14399887
250,10,273.1,30,7.8,80.67829104
300,12,323.9,30,8.38,114.782316
350,14,355.6,30,9.53,137.8083727
400,16,406.4,30,9.53,182.5521364
450,18,457,30,11.13,229.9648321
500,20,508,30,12.7,283.385
550,22,559,30,12.7,346.444655
600,24,610,30,14.27,411.3788042
