minTemp,maxTemp,material,rating,pressure
-29,38,ASTM A216 WCB,ASME 150,19.6
-29,50,ASTM A216 WCB,ASME 150,19.2
-29,100,ASTM A216 WCB,ASME 150,17.7
-29,150,ASTM A216 WCB,ASME 150,15.8
-29,200,ASTM A216 WCB,ASME 150,13.8
-29,250,ASTM A216 WCB,ASME 150,12.1
-29,300,ASTM A216 WCB,ASME 150,10.2
-29,325,ASTM A216 WCB,ASME 150,9.3
-29,350,ASTM A216 WCB,ASME 150,8.4
-29,375,ASTM A216 WCB,ASME 150,7.4
-29,400,ASTM A216 WCB,ASME 150,6.5
-29,425,ASTM A216 WCB,ASME 150,5.5
-29,450,ASTM A216 WCB,ASME 150,4.6
-29,475,ASTM A216 WCB,ASME 150,3.7
-29,500,ASTM A216 WCB,ASME 150,2.8
-29,538,ASTM A216 WCB,ASME 150,1.4
-29,38,ASTM A216 WCB,ASME 300,51.1
-29,50,ASTM A216 WCB,ASME 300,50.1
-29,100,ASTM A216 WCB,ASME 300,46.6
-29,150,ASTM A216 WCB,ASME 300,45.1
-29,200,ASTM A216 WCB,ASME 300,43.8
-29,250,ASTM A216 WCB,ASME 300,41.9
-29,300,ASTM A216 WCB,ASME 300,39.8
-29,325,ASTM A216 WCB,ASME 300,38.7
-29,350,ASTM A216 WCB,ASME 300,37.6
-29,375,ASTM A216 WCB,ASME 300,36.4
-29,400,ASTM A216 WCB,ASME 300,34.7
-29,425,ASTM A216 WCB,ASME 300,28.8
-29,450,ASTM A216 WCB,ASME 300,23
-29,475,ASTM A216 WCB,ASME 300,17.4
-29,500,ASTM A216 WCB,ASME 300,11.8
-29,538,ASTM A216 WCB,ASME 300,5.9
-29,38,ASTM A216 WCB,ASME 600,102.1
-29,50,ASTM A216 WCB,ASME 600,100.2
-29,100,ASTM A216 WCB,ASME 600,93.2
-29,150,ASTM A216 WCB,ASME 600,90.2
-29,200,ASTM A216 WCB,ASME 600,87.6
-29,250,ASTM A216 WCB,ASME 600,83.9
-29,300,ASTM A216 WCB,ASME 600,79.6
-29,325,ASTM A216 WCB,ASME 600,77.4
-29,350,ASTM A216 WCB,ASME 600,75.1
-29,375,ASTM A216 WCB,ASME 600,72.7
-29,400,ASTM A216 WCB,ASME 600,69.4
