actType,failAction,valveInterface,actSize_,springSet,torqueType,setPressure,start,mid,end,actSize
SY,DA, F16,SY250,,AT,2,1480,858,1554,250
SY,DA, F16,SY250,,AT,2.5,1850,1073,1943,250
SY,DA, F16,SY250,,AT,3,2221,1288,2332,250
SY,DA, F16,SY250,,AT,3.5,2591,1502,2720,250
SY,DA, F16,SY250,,AT,4,2961,1717,3109,250
SY,DA, F16,SY250,,AT,4.5,3331,1931,3497,250
SY,DA, F16,SY250,,AT,5,3701,2146,3886,250
SY,DA, F16,SY250,,AT,5.5,4071,2360,4275,250
SY,DA, F16,SY250,,AT,6,4441,2575,4663,250
SY,DA, F16,SY250,,AT,6.5,4811,2790,5052,250
SY,DA, F16,SY250,,AT,7,5181,3004,5440,250
SY,DA,F25 ,SY250,,AT,2,1480,858,1554,250
SY,DA,F25 ,SY250,,AT,2.5,1850,1073,1943,250
SY,DA,F25 ,SY250,,AT,3,2221,1288,2332,250
SY,DA,F25 ,SY250,,AT,3.5,2591,1502,2720,250
SY,DA,F25 ,SY250,,AT,4,2961,1717,3109,250
SY,DA,F25 ,SY250,,AT,4.5,3331,1931,3497,250
SY,DA,F25 ,SY250,,AT,5,3701,2146,3886,250
SY,DA,F25 ,SY250,,AT,5.5,4071,2360,4275,250
SY,DA,F25 ,SY250,,AT,6,4441,2575,4663,250
SY,DA,F25 ,SY250,,AT,6.5,4811,2790,5052,250
SY,DA,F25 ,SY250,,AT,7,5181,3004,5440,250
SY,DA, F16,SY260,,AT,2,2119,1229,2225,260
SY,DA, F16,SY260,,AT,2.5,2649,1536,2781,260
SY,DA, F16,SY260,,AT,3,3179,1843,3338,260
SY,DA, F16,SY260,,AT,3.5,3708,2150,3894,260
SY,DA, F16,SY260,,AT,4,4238,2457,4450,260
SY,DA, F16,SY260,,AT,4.5,4768,2765,5006,260
SY,DA, F16,SY260,,AT,5,5298,3072,5563,260
SY,DA, F16,SY260,,AT,5.5,5827,3379,6119,260
SY,DA, F16,SY260,,AT,6,6357,3686,6675,260
SY,DA, F16,SY260,,AT,6.5,6887,3993,7231,260
SY,DA, F16,SY260,,AT,7,7417,4300,7788,260
SY,DA, F25,SY260,,AT,2,2119,1229,2225,260
SY,DA, F25,SY260,,AT,2.5,2649,1536,2781,260
SY,DA, F25,SY260,,AT,3,3179,1843,3338,260
SY,DA, F25,SY260,,AT,3.5,3708,2150,3894,260
SY,DA, F25,SY260,,AT,4,4238,2457,4450,260
SY,DA, F25,SY260,,AT,4.5,4768,2765,5006,260
SY,DA, F25,SY260,,AT,5,5298,3072,5563,260
SY,DA, F25,SY260,,AT,5.5,5827,3379,6119,260
SY,DA, F25,SY260,,AT,6,6357,3686,6675,260
SY,DA, F25,SY260,,AT,6.5,6887,3993,7231,260
SY,DA, F25,SY260,,AT,7,7417,4300,7788,260
SY,DA,F16,SY270,,AT,2,2799,1623,2939,270
