rating,nominalPipeSize,inMM,inInch,area
150,0.5,12.7,0.5,0.19625
150,0.375,19.1,0.75,0.4415625
150,1,25.4,1,0.785
150,1.25,31.8,1.25,1.2265625
150,1.5,38.1,1.5,1.76625
150,2,50.8,2,3.14
150,2.5,63.5,2.5,4.90625
150,3,76.2,3,7.065
150,4,101.6,4,12.56
150,5,127,5,19.625
150,6,152.4,6,28.26
150,8,203.2,8,50.24
150,10,254,10,78.5
150,12,304.8,12,113.04
150,14,336.6,13.25,137.8165625
150,16,387.4,15.25,182.5615625
150,18,438.2,17.25,233.5865625
150,20,489,19.25,290.8915625
150,22,539.8,21.25,354.4765625
150,24,590.6,23.25,424.3415625
150,26,641.4,25.25,500.4865625
150,28,692.2,27.25,582.9115625
150,30,743,29.25,671.6165625
150,32,793.7,31.25,766.6015625
150,34,844.5,33.25,867.8665625
150,36,895.3,35.25,975.4115625
150,38,946.1,37.25,1089.236563
150,40,996.9,39.25,1209.341563
150,42,1047.7,41.25,1335.726563
150,44,1098.5,43.25,1468.391563
150,46,1149.3,45.25,1607.336563
150,48,1200.1,47.25,1752.561563
150,50,1250.9,49.25,1904.066563
150,52,1301.7,51.25,2061.851563
150,54,1352.5,53.25,2225.916563
150,56,1403.3,55.25,2396.261563
300,0.5,12.7,0.5,0.19625
300,0.375,19.1,0.75,0.4415625
300,1,25.4,1,0.785
300,1.25,31.8,1.25,1.2265625
300,1.5,38.1,1.5,1.76625
300,2,50.8,2,3.14
300,2.5,63.5,2.5,4.90625
300,3,76.2,3,7.065
300,4,101.6,4,12.56
300,5,127,5,19.625
300,6,152.4,6,28.26
300,8,203.2,8,50.24
300,10,254,10,78.5
300,12,304.8,12,113.04
300,14,336.6,13.25,137.8165625
300,16,387.4,15.25,182.5615625
300,18,431.8,17,226.865
300,20,482.6,19,283.385
300,22,533.4,21,346.185
300,24,584.2,23,415.265
300,26,635,25,490.625
300,28,685.8,27,572.265
300,30,736.6,29,660.185
300,32,787.4,31,754.385
300,34,838.2,33,854.865
300,36,889,35,961.625
300,38,939.8,37,1074.665
300,40,990.6,39,1193.985
300,42,1041.4,41,1319.585
300,44,1092.2,43,1451.465
300,46,1143,45,1589.625
300,48,1193.8,47,1734.065
300,50,1244.6,49,1884.785
300,52,1295.4,51,2041.785
300,54,1346.2,53,2205.065
300,56,1397,55,2374.625
600,0.5,12.7,0.5,0.19625
600,0.375,19.1,0.75,0.4415625
600,1,25.4,1,0.785
600,1.25,31.8,1.25,1.2265625
600,1.5,38.1,1.5,1.76625
600,2,50.8,2,3.14
600,2.5,63.5,2.5,4.90625
600,3,76.2,3,7.065
600,4,101.6,4,12.56
600,5,127,5,19.625
600,6,152.4,6,28.26
600,8,199.9,7.87,48.6204665
600,10,247.7,9.75,74.6240625
600,12,298.5,11.75,108.3790625
600,14,326.9,12.87,130.0249665
600,16,374.7,14.75,170.7865625
600,18,419.1,16.5,213.71625
600,20,463.6,18.25,261.4540625
600,22,511,20.12,317.779304
600,24,558.8,22,379.94
600,26,603.3,23.75,442.7890625
600,28,647.7,25.5,510.44625
600,30,695.2,27.37,588.0567665
600,32,736.6,29,660.185
600,34,781,30.75,742.2665625
600,36,828.5,32.62,835.290554
600,38,872.9,34.37,927.3180665
600,40,920.7,36.25,1031.539063
600,42,965.2,38,1133.54
600,44,1012.6,39.87,1247.849267
600,46,1057.1,41.62,1359.796154
600,48,1104.9,43.5,1485.41625
600,50,1149.3,45.25,1607.336563
600,52,1193.8,47,1734.065
600,54,1241.2,48.87,1874.797367
600,56,1285.7,50.62,2011.471754
900,0.5,12.7,0.5,0.19625
900,0.375,17.5,0.69,0.3737385
900,1,22.1,0.87,0.5941665
900,1.25,28.4,1.12,0.984704
900,1.5,34.8,1.37,1.4733665
900,2,47.5,1.87,2.7450665
900,2.5,57.2,2.25,3.9740625
900,3,72.9,2.87,6.4659665
900,4,98.3,3.87,11.7568665
900,5,120.7,4.75,17.7115625
900,6,146.1,5.75,25.9540625
900,8,190.5,7.5,44.15625
900,10,238,9.37,68.9205665
900,12,282.4,11.12,97.068704
900,14,311.2,12.25,117.7990625
900,16,355.6,14,153.86
900,18,400.1,15.75,194.7290625
900,20,444.5,17.5,240.40625
900,22,489,19.25,290.8915625
900,24,533.4,21,346.185
900,26,577.9,22.75,406.2865625
900,28,622.3,24.5,471.19625
900,30,666.8,26.25,540.9140625
900,32,711.2,28,615.44
900,34,755.6,29.75,694.7740625
900,36,800.1,31.5,778.91625
900,38,844.5,33.25,867.8665625
900,40,889,35,961.625
900,42,933.4,36.75,1060.191563
900,44,977.9,38.5,1163.56625
900,46,1 022.3,40.25,1271.749063
900,48,1 066.8,42,1384.74
900,50,1111.2,43.75,1502.539063
1500,0.5,12.7,0.5,0.19625
1500,0.375,17.5,0.69,0.3737385
1500,1,22.1,0.87,0.5941665
1500,1.25,28.4,1.12,0.984704
1500,1.5,34.8,1.37,1.4733665
1500,2,47.5,1.87,2.7450665
1500,2.5,57.2,2.25,3.9740625
1500,3,69.9,2.75,5.9365625
1500,4,91.9,3.62,10.286954
1500,5,111,4.37,14.9910665
1500,6,136.4,5.37,22.6369665
1500,8,177.8,7,38.465
1500,10,222.3,8.75,60.1015625
1500,12,263.4,10.37,84.4164665
1500,14,288.8,11.37,101.4823665
1500,16,330.2,13,132.665
1500,18,371.3,14.62,167.789354
1500,20,415.8,16.37,210.3618665
1500,22,457.2,18,254.34
1500,24,498.3,19.62,302.181354
1500,26,539.8,21.25,354.4765625
1500,28,584.2,23,415.265
1500,30,625.3,24.62,475.823354
2500,0.5,11.2,0.44,0.151976
2500,0.375,14.2,0.56,0.246176
2500,1,19.1,0.75,0.4415625
2500,1.25,25.4,1,0.785
2500,1.5,28.4,1.12,0.984704
2500,2,38.1,1.5,1.76625
2500,2.5,47.5,1.87,2.7450665
2500,3,57.2,2.25,3.9740625
2500,4,72.9,2.87,6.4659665
2500,5,91.9,3.62,10.286954
2500,6,111,4.37,14.9910665
2500,8,146.1,5.75,25.9540625
2500,10,184.2,7.25,41.2615625
2500,12,218.9,8.62,58.328954
2500,14,241.3,9.5,70.84625
2500,16,276.1,10.87,92.7531665
2500,18,311.2,12.25,117.7990625
2500,20,342.9,13.5,143.06625
2500,22,377.7,14.87,173.5767665
2500,24,412.8,16.25,207.2890625
2500,26,447.5,17.62,243.714554
2500,28,482.6,19,283.385
2500,30,517.4,20.37,325.7254665
